,,,,,,,,,,,,,,,
,"The following list contains top 9933 most frequent Chinese characters based on Jun Da's Modern Chinese Character Frequency List, in the order of decreasing frequency. The number                                          of encounters in the corpus is recalculated into a percentage. The additional and missing information was gathered on HanziDB, Wikidictionary, as well as filled in by hand.",,,,,,,,,,,,,,
,№,Freq.,General standard #,Radical,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,,,,Meaning,
,183,183,0521,欠 76.2,214857,"0,111035%",2,1,6,次,cì,ci,fourth,"order, sequence; next","53,953363%"
,184,184,1622,广 53.6,214376,"0,110786%",4,2,9,度,dù,du,fourth,"degree, system; manner; to consider","54,064149%"
,185,185,0055,門 169.0,212769,"0,109956%",2,1,3,门,mén,men,second,"gate, door, entrance, opening","54,174105%"
,186,186,0467,人 9.4,212485,"0,109809%",4,3,6,任,rèn,ren,fourth,"trust to, rely on, appoint; to bear, duty, office; allow","54,283914%"
,187,187,2257,巾 50.8,212309,"0,109718%",2,1,11,常,cháng,chang,second,"common, normal, frequent, regular","54,393632%"
,188,188,0446,儿 10.4,210628,"0,108849%",1,1,6,先,xiān,xian,first,"first, former, previous","54,502482%"
,189,189,2074,水 85.7,209302,"0,108164%",4,2,10,海,hǎi,hai,third,"sea, ocean; maritime","54,610646%"
,190,190,2145,辵 162.7,209046,"0,108032%",4,2,10,通,tōng,tong,first,"pass through, common, communicate","54,718678%"
,191,191,2179,攴 66.7,208875,"0,107943%",2,1,11,教,jiào,jiao,fourth,"teach, class","54,826621%"
,192,192,0012,儿 10.0,207827,"0,107402%",1,1,2,儿,ér,er,second,"son, child; KangXi radical 10","54,934023%"
,193,193,1868,厂 27.8,207579,"0,107274%",4,2,10,原,yuán,yuan,second,"source, origin, beginning","55,041297%"
,194,194,0225,一 1.4,206238,"0,106581%",1,1,5,东,dōng,dong,first,"east, eastern, eastward","55,147878%"
,195,195,0654,士 33.4,206083,"0,106501%",3,2,7,声,shēng,sheng,first,"sound, voice, noise; tone; music","55,254378%"
,196,196,2520,手 64.9,205159,"0,106023%",3,2,12,提,tí,ti,second,hold in hand; lift in hand,"55,360401%"
,197,197,0302,立 117.0,204985,"0,105933%",5,3,5,立,lì,li,fourth,"stand; let stand; establish, set","55,466335%"
,198,198,0052,又 29.2,202671,"0,104737%",4,3,3,及,jí,ji,second,extend; reach; come up to; and,"55,571072%"
,199,199,0105,比 81.0,200645,"0,103690%",2,1,4,比,bǐ,bi,third,"to compare, liken; comparison; than","55,674762%"
,200,200,0737,口 30.4,200217,"0,103469%",2,3,7,员,yuán,yuan,second,"member; personnel, staff member","55,778231%"
,201,201,2981,角 148.6,200090,"0,103404%",3,3,13,解,jiě,jie,third,"loosen, unfasten, untie; explain","55,881635%"
,202,202,0117,水 85.0,198933,"0,102806%",1,1,4,水,shuǐ,shui,third,"water, liquid, lotion, juice","55,984441%"
,203,203,0505,口 30.3,198481,"0,102572%",1,1,6,名,míng,ming,second,"name, rank, title, position","56,087013%"
,204,204,1832,目 109.5,198416,"0,102538%",2,1,10,真,zhēn,zhen,first,"real, actual, true, genuine","56,189551%"
,205,205,0556,言 149.4,197165,"0,101892%",4,2,6,论,lùn,lun,fourth,debate; discuss; discourse,"56,291443%"
,206,206,0294,夂 34.2,194237,"0,100379%",4,2,5,处,chù,chu,fourth,"place, locale; department","56,391822%"
,207,207,0625,走 156.0,193619,"0,100059%",2,1,7,走,zǒu,zou,third,"walk, go on foot; run; leave","56,491881%"
,208,208,0057,丿 4.2,193507,"0,100002%",5,3,3,义,yì,yi,fourth,"right conduct, righteousness","56,591883%"
,209,209,0506,口 30.3,193435,"0,099964%",4,3,6,各,gè,ge,fourth,"each, individually, every, all","56,691847%"
